code,name,industry,group,roa,roe,debt_ratio,current_ratio,quick_ratio,asset_turnover,inventory_turnover,ar_turnover,cf_to_revenue,interest_coverage,roa_2019,roe_2019,debt_ratio_2019,current_ratio_2019,quick_ratio_2019,roa_2020,roe_2020,debt_ratio_2020,current_ratio_2020,quick_ratio_2020,roa_2021,roe_2021,debt_ratio_2021,current_ratio_2021,quick_ratio_2021,roa_growth
600782,新余钢铁股份有限公司,钢铁,独立测试集,0.068138,0.142741,0.523873,1.101406,0.888097,1.482376,12.620602,39.063223,0.068184,73.908313,0.07594,0.153857,0.506429,1.1472,0.93345,0.052592,0.113734,0.537589,1.039256,0.81567,0.075883,0.160633,0.527602,1.117763,0.915172,-0.000749
002110,福建三钢闽光股份有限公司,钢铁,标杆,0.088808,0.16856,0.481533,1.047317,0.848639,1.30109,13.347109,9000.727509,0.053643,97.25507,0.120235,0.208818,0.424209,1.229921,0.964339,0.059235,0.125268,0.52713,0.923343,0.745914,0.086953,0.171593,0.493259,0.988688,0.835665,-0.276806
000717,广东韶钢松山股份有限公司,钢铁,标杆,0.101446,0.199712,0.488896,0.654649,0.385299,1.894236,14.290165,1236.434019,0.080919,75.677558,0.106195,0.227975,0.534179,0.608313,0.358796,0.104818,0.195699,0.46439,0.651507,0.398545,0.093326,0.175463,0.468118,0.704127,0.398556,-0.12119
600585,安徽海螺水泥股份有限公司,建材,绿色,0.173554,0.211773,0.178811,3.993805,3.729106,0.826746,16.221236,112.179868,0.219586,33.767139,0.19215,0.241371,0.203923,3.541407,3.338224,0.180331,0.215878,0.164661,4.65699,4.368926,0.148182,0.178071,0.167849,3.783019,3.480167,-0.228819
000786,北新集团建材股份有限公司,建材,绿色,0.095585,0.128835,0.275526,1.373735,1.00536,0.715977,5.807531,10.177515,0.146164,39.449824,0.021273,0.031397,0.322458,1.020644,0.760867,0.131727,0.173075,0.238902,1.407285,1.047817,0.133755,0.182034,0.265217,1.693276,1.207395,5.287608
601992,北京金隅集团股份有限公司,建材,争议,0.018085,0.057297,0.683216,1.441115,0.460041,0.375982,0.721839,14.003804,0.119292,3.70816,0.018354,0.062742,0.707464,1.366383,0.414739,0.017696,0.054585,0.675801,1.537491,0.522484,0.018204,0.054564,0.666382,1.419472,0.442898,-0.008205
600801,华新水泥股份有限公司,建材,争议,0.14753,0.245963,0.405776,1.23247,0.998354,0.714663,7.681247,44.943703,0.276048,37.748812,0.191587,0.300449,0.362329,1.124526,0.903245,0.140537,0.239845,0.414049,1.304416,1.101948,0.110466,0.197596,0.440951,1.268468,0.989871,-0.423418
603737,三棵树涂料股份有限公司,建材,争议,0.033842,0.08311,0.736648,0.957659,0.859221,0.959096,11.066023,3.284358,0.055043,24.539354,0.074707,0.230871,0.676413,1.001836,0.858926,0.058836,0.201684,0.708276,1.071168,0.986533,-0.032018,-0.183226,0.825256,0.799972,0.732205,-1.428577
600819,上海耀皮玻璃集团股份有限公司,建材,棕色,0.02461,0.041155,0.395596,1.297243,0.879769,0.622516,3.688232,8.75184,0.135995,6.367452,0.031273,0.055281,0.43429,1.177746,0.778527,0.023735,0.037844,0.372836,1.348256,0.960246,0.018821,0.03034,0.379661,1.365728,0.900533,-0.398164
002233,广东塔牌集团股份有限公司,建材,独立测试集,0.140621,0.168015,0.162645,3.138712,2.826067,0.567643,7.971666,216.017886,0.309898,92.977767,0.147582,0.177121,0.166774,2.978292,2.717323,0.141402,0.170546,0.170886,3.15198,2.849192,0.132878,0.156377,0.150274,3.285864,2.911686,-0.099634
