SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600126.SH,600126,杭钢股份,10002348,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-25 00:00:00,2026-04-25 00:00:00,CNY,10776752580.04,,,,,,,,,,,,530723.63,222423144.32,,0.0,10999706447.99,11938379276.78,,,,,,250751946.71,134072595.09,232814029.41,,0.0,12556017847.99,,0.0,-1556311400.0,4571674147.71,14087040.8,187693.6,,,989000000.0,,0.0,5574948882.11,485281176.45,2130000000.0,,,,70000000.0,,0.0,2685281176.45,,0.0,2889667705.66,,,143686741.23,,70033171.76,,0.0,213719912.99,,802175.35,,,1810666598.52,,,0.0,1811468773.87,,0.0,-1597748860.88,12440552.19,,0.0,-251952003.03,5731466826.04,,0.0,5479514823.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.5393559651,,,,,,,,,,,,-94.9559759946,33.6161709275,,,-41.8988714778,-40.6455870374,,,,,,-13.3202435169,-26.1667481539,7.4621557547,,,-39.6381262045,,,16.740863824,42.8648171159,-12.9499440189,,,,,,,73.3405536711,412.1303510002,-3.1818181818,,,,,,,17.0180877823,,,213.6084494953,,,187.37348246,,94.5365882222,,,148.5115267326,,-80.855838704,,,51875.6306386881,,,,454.9418010714,,,-564.5518815482,14.528721728,,,78.6005353938,-12.196713794,,,2.4161101713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600126.SH,600126,杭钢股份,10002348,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-18 00:00:00,2026-04-18 00:00:00,CNY,69623492136.69,,,,,,,,,,,,61603321.58,815153133.37,,0.0,70500248591.64,66031867845.82,,,,,,1023362410.75,572349876.65,728414096.6,,0.0,68355994229.82,,0.0,2144254361.82,6101791977.78,19797029.01,798363.21,,,,,0.0,6122387370.0,1216712769.96,7534563638.13,,,,75918589.05,,0.0,8827194997.14,,0.0,-2704807627.14,17150000.0,17150000.0,915892972.34,,5575958985.8,,0.0,6509001958.14,781598989.28,57621176.18,2310000.0,,5947442645.16,,,0.0,6786662810.62,,0.0,-277660852.48,42058717.27,,0.0,-796155400.53,6527622226.57,,0.0,5731466826.04,23071462.13,39137787.42,1123079453.74,1123079453.74,,93999930.03,60193617.96,,,,316815.0,4775007.19,-2332611.42,34286925.02,-145219591.81,-82491893.29,-80031190.07,-2460703.22,,876677253.63,-885669278.43,954288681.45,-851034.32,,0.0,2144254361.82,,,,,5731466826.04,6527622226.57,,,,,-796155400.53,-8.3616193866,,,,,,,,,,,,-17.9722092822,-20.7902735689,,,-8.5369188586,-9.9807817862,,,,,,2.9734769737,-35.5397729055,1.7208098209,,,-9.9997496021,,,89.8142270753,50.555532767,-63.0761054928,-91.0773245694,,,,,,48.7672031087,-8.4082244683,50.8421148775,,,,,,,39.5955242064,,,-22.5007001065,-90.5222437137,-90.5222437137,-50.0511490506,,599.0041066275,,,131.4466345783,-69.0470139495,-70.04729925,,,34647.5996439839,,,,148.1769321244,,,-457.3241703292,23.6240549165,,,17.6340207366,-12.898018658,,,-12.196713794,103.6796524615,17.2138014496,15.9591233298,15.9591233298,,17.6287629374,-2.3956288154,,,,-83.047582418,604.830644745,83.9796807964,38.7875405458,-150.9919137487,-253.8096833112,-6240.5576457729,88.8419264612,,232.0126504121,-202.8137898942,-39.240844287,43.5140739496,,,89.8142270753,,,,,-12.196713794,-12.898018658,,,,,17.6340207366,标准无保留意见,,,,18071618.71,-7.2357887562
600126.SH,600126,杭钢股份,10002348,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-25 00:00:00,2025-10-25 00:00:00,CNY,61422931609.68,,,,,,,,,,,,58060982.16,657840466.75,,0.0,62138833058.59,58039284732.37,,,,,,697589024.63,548830968.38,709844217.24,,0.0,59995548942.62,,0.0,2143284115.97,5550210519.03,27525244.43,,,,127000000.0,,0.0,5704735763.46,640290095.59,5394750000.0,,,,133000000.0,,0.0,6168040095.59,,0.0,-463304332.13,17150000.0,17150000.0,561038931.99,,966000000.0,,0.0,1544188931.99,621556049.28,18784922.47,,,256180483.75,,,0.0,896521455.5,,0.0,647667476.49,40930074.94,,0.0,2368577335.27,6527622226.57,,0.0,8896199561.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6890318107,,,,,,,,,,,,71.9165854348,-40.7647335532,,,1.935739629,-0.5538886808,,,,,,4.3436289738,-30.9855411939,-25.4641952388,,,-1.2885156095,,,1089.8079770918,209.6179024339,-82.9473521862,,,,,,,191.939834469,-44.9903355825,61.2780269058,,,,,,,36.7952050201,,,81.8659064872,-90.5222437137,-90.5222437137,-74.4002236324,,1801.3152650076,,,-36.2783391633,-77.7847547906,-91.0097183412,,,3498.9572758162,,,,-70.2542279893,,,209.6605060871,77.2673495614,,,180.5018354597,-12.898018658,,,95.4364961095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600126.SH,600126,杭钢股份,10002348,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2025-08-23 00:00:00,CNY,38805265105.58,,,,,,,,,,,,64780399.38,451795574.68,,0.0,39321841079.64,38325385941.38,,,,,,505361058.33,386624303.95,403660627.11,,0.0,39621031930.77,,0.0,-299190851.13,3946815808.47,20241658.43,36025.65,,,,,0.0,3967093492.55,464140069.62,3794750000.0,,,,,,0.0,4258890069.62,,0.0,-291796577.07,17150000.0,17150000.0,603176045.72,,,,0.0,620326045.72,535556049.28,31187046.13,,,9270160.32,,,0.0,576013255.73,,0.0,44312789.99,26027636.83,,0.0,-520647001.38,6527622226.57,,0.0,6006975225.19,-115509926.94,-13864677.31,579588756.49,579588756.49,,51739114.45,32074706.43,,,,,44593.27,-1910365.71,,10932959.11,-48936274.37,-53321868.95,4385594.58,,908571084.08,-984187311.64,-698575363.1,,,0.05,-299190851.13,,,,,6006975225.19,6527622226.57,,,,,-520647001.38,-3.4295839558,,,,,,,,,,,,133.8149872163,-26.8918274497,,,-3.6915731242,-6.1011674204,,,,,,5.1336915741,-25.8648347664,-42.0042722707,,,-6.8043688697,,,82.2412678224,9164.8258414789,-86.008618991,-26.4953813816,,,,,,2017.8010107384,-22.3355918124,2819.0384615385,,,,,,,485.315789132,,,45.9937269276,-89.6842105263,-89.6842105263,-63.3196642393,,,,,-66.6754652752,-74.0485734063,-84.0540008866,,,422.7090645742,,,,-74.5243994342,,,111.0901338349,115.6588665058,,,80.0713499522,-12.898018658,,,23.0515431128,-211.8354741348,-1.4480629636,39.7809487404,39.7809487404,,3.2805542982,5.5222853858,,,,,339.8443741727,-691.8430609988,,181.1474582836,-24.7735216408,-301.0353632329,116.9171033286,,300.1808827689,58.8986278034,-202.8070980539,,,,82.2412678224,,,,,23.0515431128,-12.898018658,,,,,80.0713499522,,,,,9186223.84,-9.6318067395
600126.SH,600126,杭钢股份,10002348,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2026-04-25 00:00:00,CNY,18755015299.68,,,,,,,,,,,,10521829.98,166464240.65,,0.0,18932001370.31,20113718055.46,,,,,,289285476.66,181588365.32,216647458.61,,0.0,20801239356.05,,0.0,-1869237985.74,3200000000.0,16182690.11,,,,,,0.0,3216182690.11,94757355.33,2200000000.0,,,,,,0.0,2294757355.33,,0.0,921425334.78,,,50000000.0,,36000000.0,,0.0,86000000.0,318751133.42,4190182.78,,,3483683.75,,,0.0,326424999.95,,0.0,-240424999.95,10862386.31,,0.0,-1177375264.6,6527622226.57,,0.0,5350246961.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2817755258,,,,,,,,,,,,9112.3489321531,-4.7098561045,,,-2.2499259,-4.0025790369,,,,,,4.3209130136,-13.3072949879,131.507887271,,,-3.3969719038,,,13.6585680201,2167.6749316331,-64.6078862086,,,,,,,1620.9263618228,-34.5979302734,1592.3076923077,,,,,,,734.2026898637,,,1144.7331437119,,,-95.5732513756,,-20.1458520397,,,-92.8694575632,-54.2917654586,-74.4661139214,,,223.8594827976,,,,-54.3363424486,,,-148.9431716755,62.4067879939,,,32.9212419773,-12.898018658,,,-6.7741418385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600126.SH,600126,杭钢股份,10002348,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-12 00:00:00,2026-04-18 00:00:00,CNY,75976344923.0,,,,,,,,,,,,75100549.51,1029107371.15,,0.0,77080552843.66,73353078549.28,,,,,,993811650.17,887911666.54,716091523.34,,0.0,75950893389.33,,0.0,1129659454.33,4052851373.6,53615766.36,8947576.5,,,,,0.0,4115414716.46,1328408323.67,4995000000.0,,,,,,0.0,6323408323.67,,0.0,-2207993607.21,180950000.0,180950000.0,1833661745.83,,797700461.69,,0.0,2812312207.52,2525116601.04,192373891.96,,,17116125.16,,,0.0,2734606618.16,,0.0,77705589.36,34021467.18,,0.0,-966607096.34,7494229322.91,,0.0,6527622226.57,-627001119.57,33390084.56,968513232.5,968513232.5,,79912368.1,61671026.85,,,,1868848.49,-945863.18,-14560330.48,24704613.17,-57858275.05,-23315329.45,-1262210.59,-22053118.86,,-664085790.94,-292479836.78,1570608857.63,-1506630.73,,0.0,1129659454.33,,,,,6527622226.57,7494229322.91,,,,,-966607096.34,17.9759728515,,,,,,,,,,,,-74.4124993034,16.984949578,,,17.5491471842,10.9927327957,,,,,,-0.4049954411,19.4955464939,47.2522906929,,,11.1768475696,,,141.1932114987,169616.3913993791,2422.416992414,310.8774068158,,,,,,61404.3251103831,64.6398356701,1821.1538461538,,,,,,,492.7136718842,,,-108.2686852683,10240.0,10240.0,-36.9510649164,,-44.2315813908,,,-35.2068298464,41.6509707361,6.0363680894,,,-46.7900279677,,,,36.989072387,,,-96.6852304878,-45.2422709921,,,30.7665282465,-15.7041088544,,,-12.898018658,-440.7061036382,2.3549525992,1.6348626256,1.6348626256,,-7.6105825812,10.019163799,,,,113.9256633059,-103.6892840429,85.1667813125,11.4415308029,-4601.3901781667,-2821.9478604741,-169.9834781162,-2228.695831979,,70.5312250697,89.8201646384,43.326204453,-901.0320853434,,,141.1932114987,,,,,-12.898018658,-15.7041088544,,,,,30.7665282465,标准无保留意见,,,,19481240.09,-2.9675512224
600126.SH,600126,杭钢股份,10002348,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-25 00:00:00,CNY,59814500659.56,,,,,,,,,,,,33772763.7,1110555427.89,,0.0,60958828851.15,58362548281.15,,,,,,668549705.9,795240559.55,952353328.06,,0.0,60778691874.66,,0.0,180136976.49,1792600000.0,161413316.75,65945.45,,,,,0.0,1954079262.2,1163959283.1,3345000000.0,,,,,,0.0,4508959283.1,,0.0,-2554880020.9,180950000.0,180950000.0,2191577472.92,,50806934.43,,0.0,2423334407.35,2797880659.97,208946985.01,,,7118186.3,,,0.0,3013945831.28,,0.0,-590611423.93,23089460.66,,0.0,-2942265007.68,7494229322.91,,0.0,4551964315.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0307761854,,,,,,,,,,,,-76.5091258433,37.2866673994,,,30.8076009019,29.1870258602,,,,,,1.0650741378,72.5879880295,172.4430249498,,,30.2904214992,,,485.5242654602,7971.4387037272,7493.8799464007,-96.9503980412,,,,,,7274.6702149363,248.6282257226,4855.5555555556,,,,,,,1023.3968381413,,,-581.5354801483,10240.0,10240.0,-28.8742083004,,-94.2538788992,,,-38.9159804739,49.2569427752,-7.7099840786,,,380.3742947766,,,,43.3557499444,,,-131.6717231686,-57.4396094577,,,-296.4855988865,-15.7041088544,,,-56.1798372813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600126.SH,600126,杭钢股份,10002348,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-24 00:00:00,2025-08-23 00:00:00,CNY,40183388138.05,,,,,,,,,,,,27705837.06,617982311.58,,0.0,40829076286.69,40815614942.72,,,,,,480684213.37,521512702.82,696017867.03,,0.0,42513829725.94,,0.0,-1684753439.25,42600000.0,144672340.9,49011.41,,,,,0.0,187321352.31,597622618.2,130000000.0,,,,,,0.0,727622618.2,,0.0,-540301265.89,166250000.0,166250000.0,1644412552.97,,50806934.43,,0.0,1861469487.4,2063686353.99,195579128.71,,,1773483.75,,,0.0,2261038966.45,,0.0,-399569479.05,12068892.53,,0.0,-2612555291.66,7494229322.91,,0.0,4881674031.25,-37041945.68,-13666773.82,414640737.32,414640737.32,,50095697.88,30396144.58,,,,884236.33,10138.42,322782.48,9966237.65,-13472953.24,-39220079.49,-13296051.63,-25924027.86,,-453875051.16,-2394536384.17,679501100.92,3182446.61,,0.0,-1684753439.25,,,,,4881674031.25,7494229322.91,,,,,-2612555291.66,34.767557656,,,,,,,,,,,,-68.7359372136,26.5062981654,,,34.332998031,39.6206361652,,,,,,1.3386268066,24.9727297652,150.4556957527,,,39.8354211524,,,-18974.6513740812,91.8126122832,67567.8152438009,4454.4981461003,,,,,,735.3591585857,122.6342735173,92.5925925926,,,,,,,116.5979007054,,,-72.3402876007,,,-37.9504409129,,-94.0355971768,,,-46.845470758,27.0164876559,-2.4816370307,,,19.6844209745,,,,23.7720321208,,,-123.8517751927,-73.4634810979,,,-286.8301451899,-15.7041088544,,,-52.5532541683,-167.0936102722,-134.7498815087,-12.2180887419,-12.2180887419,,20.2585558027,29.3118337042,,,,,17.7895792258,,13.0315124127,16.3286208875,-18.0921891593,54.9432128857,-600.2961552067,,42.5549029579,-35.7090592609,-65.1472623481,,,,-18974.6513740812,,,,,-52.5532541683,-15.7041088544,,,,,-286.8301451899,,,,,10165328.65,124.3135276901
600126.SH,600126,杭钢股份,10002348,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-26 00:00:00,CNY,19192955460.04,,,,,,,,,,,,114214.41,174691981.61,,0.0,19367761656.06,20952352525.37,,,,,,277303436.39,209462105.6,93581027.05,,0.0,21532699094.41,,0.0,-2164937438.35,141113700.0,45724000.0,49011.8,,,,,0.0,186886711.8,144884337.34,130000000.0,,,,199570.11,,0.0,275083907.45,,0.0,-88197195.65,31500000.0,31500000.0,1129497160.15,,45082191.62,,0.0,1206079351.77,697360413.54,16410282.27,,,1075677.55,,,0.0,714846373.36,,0.0,491232978.41,6688381.96,,0.0,-1755213273.63,7494229322.91,,0.0,5739016049.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0519333513,,,,,,,,,,,,-99.8540959225,-45.6685394353,,,22.9871074366,35.7760144186,,,,,,-1.1629228443,-5.771137613,-9.4150919727,,,34.2628350304,,,-646.7288866368,,,-17.2203544987,,,,,,315546.7575503462,-23.294924682,,,,,,,,45.63569967,,,53.2917503457,,,-43.1004268893,,,,,-39.2425207654,-31.3274356543,-8.5997376285,,,,,,,-30.8284927691,,,-48.3798840624,-79.8918165811,,,-446.7811684902,-15.7041088544,,,-38.9240878787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600126.SH,600126,杭钢股份,10002348,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-13 00:00:00,2025-04-12 00:00:00,CNY,64399846075.96,,,,,,,,,,,,293504826.44,879692109.85,,0.0,65573043012.25,66088181362.57,,,,,,997852908.96,743050006.96,486302467.67,,0.0,68315386746.16,,0.0,-2742343733.91,2388014.11,2125571.09,2177675.47,,,,,0.0,6691260.67,806857172.97,260000000.0,,,,,,0.0,1066857172.97,,0.0,-1060165912.3,1750000.0,1750000.0,2908315173.6,,1430380278.99,,0.0,4340445452.59,1782632754.24,181422558.53,,,32167138.05,,,0.0,1996222450.82,,0.0,2344223001.77,62130895.12,,0.0,-1396155749.32,8890385072.23,,0.0,7494229322.91,184029905.21,32621855.33,952934069.55,952934069.55,,86495153.16,56054804.2,,,,-13420175.75,25638122.98,-98160290.0,22168228.48,-1230663.12,856567.82,1803583.68,-947015.86,,-2253523577.11,-2873129342.38,1095828124.12,188086.19,,0.0,-2742343733.91,,,,,7494229322.91,8890385072.23,,,,,-1396155749.32,54.3387835972,,,,,,,,,,,,15.0359080305,42.1981095776,,,53.9270824229,62.3024504909,,,,,,2.194855856,-18.6442775956,94.9966391876,,,59.3982705383,,,-961.978033217,-74.1728108795,-94.2091441999,-57.2012345876,,,,,,-86.8901492116,-1.5575864326,-14.8064714315,,,,,,,-5.1523183716,,,1.2670447584,,,-32.529100813,,39.1057517326,,,-18.6990919695,-57.1856459071,-78.8967088736,,,169.6320393696,,,,-60.3550627794,,,672.4223953321,59.6889605914,,,-41.0823162383,-10.0162426978,,,-15.7041088544,-61.7901496154,48.8908006744,-12.0833977952,-12.0833977952,,2.802654818,74.1627995586,,,,-18044.6213106034,58.1300136589,,560.0415966027,95.9120529107,102.740608718,115.189560303,95.1136436064,,-3664.9618236531,-79.5442577047,498.6120840593,-79.7466617765,,,-961.978033217,,,,,-15.7041088544,-10.0162426978,,,,,-41.0823162383,标准无保留意见,,,,20077036.43,45.6314565087
