SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
601003.SH,601003,柳钢股份,10087808,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,12098075523.75,,,,,,,,,,,,4278629.09,272586786.25,,0.0,12374940939.09,11109027267.1,,,,,,543876346.96,209282908.55,254357475.88,,0.0,12116543998.49,,0.0,258396940.6,,,,,,,,,,574319852.03,,,,,,,0.0,574319852.03,,0.0,-574319852.03,508499998.2,210000000.0,2636675754.47,,,,0.0,3145175752.67,2182036861.1,187248587.27,,,5387672.97,,,0.0,2374673121.34,,0.0,770502631.33,-2220918.55,,0.0,452358801.35,3129088693.01,,0.0,3581447494.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.4830240001,,,,,,,,,,,,709.5399297378,-17.3175662831,,,-14.521140823,-15.2034828467,,,,,,-9.1549580247,241.4063504532,-35.4343108694,,,-14.3994099519,,,-19.864799335,,,,,,,,,,-41.0156815265,,,,,,,,-41.0156815265,,,40.7479256737,476.5306102041,138.0952380952,-3.2497718069,,,,,11.7911148828,21.8485067305,-21.8462921358,,,823.8595236742,,,,16.9241483591,,,-1.5317010336,-194.4147290713,,,227.774219712,-37.9577864766,,,-30.8800035775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601003.SH,601003,柳钢股份,10087808,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,55442546423.04,,,,,,,,,,,,10572114.68,1304156573.69,,0.0,56757275111.41,49011804156.46,,,,,,2250955694.52,554853752.92,469349508.26,,0.0,52286963112.16,,0.0,4470311999.25,,760000.0,,,,4400000.0,,0.0,5160000.0,1229649776.75,650600.0,,,,,,0.0,1230300376.75,,0.0,-1225140376.75,378200000.0,378200000.0,9582376921.06,,54229.38,,0.0,9960631150.44,14107852333.32,946082713.2,,,71766426.96,,,0.0,15125701473.48,,0.0,-5165070323.04,5504069.36,,0.0,-1914394631.18,5043483324.19,,0.0,3129088693.01,1392601438.28,42978017.2,2812637935.63,2812637935.63,,64612729.85,,,,,1562971.96,63175.39,-8315640.29,959967212.46,-1750017.61,181328619.23,190599552.98,-9270933.75,,897534592.37,-168855704.58,-1738896682.46,,,0.0,4470311999.25,,,,,3129088693.01,5043483324.19,,,,,-1914394631.18,-4.3864156301,,,,,,,,,,,,-23.4776466556,-28.0388286582,,,-5.1074923281,-8.2527236823,,,,,,-0.0048671321,-26.2246076027,-41.1420438419,,,-8.6228109175,,,72.5220707347,,234.0659340659,,,,,,,-86.2616336004,-44.0028252039,,,,,,,,-44.1004782145,,,43.3684980074,3401.8518518519,3401.8518518519,-32.0356117665,,,,,-29.4068639079,-5.3788522076,-18.7841782226,,,72.9945548069,,,,-6.1460642333,,,-157.4425909165,-50.5760358674,,,-22.1409869757,-23.7089801865,,,-37.9577864766,330.9849437417,-47.8138149727,13.6044892967,13.6044892967,,22.2857222652,,,,,108.8069933082,109.7737602358,-887.0634758185,-11.1414020673,-463.862745074,7558.2458437444,2686.6721087703,0.0,,-68.8002360641,-111.2972126864,64.4021970669,,,,72.5220707347,,,,,-37.9577864766,-23.7089801865,,,,,-22.1409869757,标准无保留意见,,,,35451831.2,-7.898e-07
601003.SH,601003,柳钢股份,10087808,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,43483220812.73,,,,,,,,,,,,9199771.61,919794709.2,,0.0,44412215293.54,37902592752.59,,,,,,1698573198.89,441667476.88,739927550.76,,0.0,40782760979.12,,0.0,3629454314.42,,760000.0,,,,4400000.0,,0.0,5160000.0,1138803929.51,650600.0,,,,,,0.0,1139454529.51,,0.0,-1134294529.51,88200000.0,88200000.0,7892015455.68,,,,0.0,7980215455.68,10657708785.57,740355042.51,,,20507028.15,,,0.0,11418570856.23,,0.0,-3438355400.55,6135277.89,,0.0,-937060337.75,5043483324.19,,0.0,4106422986.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7805448265,,,,,,,,,,,,1.3411604007,-29.0062166011,,,-2.553870262,-11.2588762809,,,,,,5.0361447805,-13.4286500604,25.3154767718,,,-10.2278291354,,,2369.1557546146,,234.0659340659,,,,,,,2141.529105126,-29.6669602922,,,,,,,,-30.416676138,,,30.722044139,,,-19.3960655818,,,,,-18.4952479066,4.4522939868,-9.844630803,,,-4.4287426826,,,,3.3721654986,,,-173.9781543899,339.3533391723,,,65.8984833861,-23.7089801865,,,6.3016001009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601003.SH,601003,柳钢股份,10087808,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-27 00:00:00,2025-08-27 00:00:00,CNY,30364503896.61,,,,,,,,,,,,5426508.27,559470861.51,,0.0,30929401266.39,27418177006.9,,,,,,1145786116.66,224172737.67,512724567.64,,0.0,29300860428.87,,0.0,1628540837.52,,,,,,4400000.0,,0.0,4400000.0,1051107406.02,650600.0,,,,,,0.0,1051758006.02,,0.0,-1047358006.02,88200000.0,88200000.0,5697665455.68,,,,0.0,5785865455.68,6121740651.68,512786037.34,,,20469998.15,,,0.0,6654996687.17,,0.0,-869131231.49,4224493.15,,0.0,-283723906.84,5043483324.19,,0.0,4759759417.35,695023591.36,,1381294500.69,1381294500.69,,31892888.47,,,,,834731.82,-237997.9,-9283423.29,516302258.85,-543786.13,-4211172.49,424294.39,-4635466.88,,1345144107.91,-896069773.48,-1449303687.14,,,0.0,1628540837.52,,,,,4759759417.35,5043483324.19,,,,,-283723906.84,-8.9170834707,,,,,,,,,,,,-40.2236633344,-37.4942887441,,,-9.6723935967,-12.4910110756,,,,,,6.3842903963,-50.7462178333,3.0056639008,,,-12.1723391123,,,85.1472029383,,,,,,,,,293233.3333333333,12.744449931,,,,,,,,10.9295802177,,,-10.465684206,,,-9.142698761,,,,,-7.7362255253,-12.6912093353,-7.3382433941,,,1203.4151300582,,,,-12.047298791,,,32.9145592849,1751.2058062814,,,79.2044902347,-23.7089801865,,,-9.2773680968,1014.6129386358,,10.0389956162,10.0389956162,,37.962387438,,,,,,97.9460684528,-1003.8709978831,-8.2028134873,-1915.9205663092,,,,,43.7386748601,-688.7236676947,31.5382721941,,,,85.1472029383,,,,,-9.2773680968,-23.7089801865,,,,,79.2044902347,,,,,17725915.74,0.0
601003.SH,601003,柳钢股份,10087808,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-30 00:00:00,CNY,14146987054.08,,,,,,,,,,,,528526.01,329679200.28,,0.0,14477194780.37,13100806070.87,,,,,,598685778.7,61300238.93,393951461.38,,0.0,14154743549.88,,0.0,322451230.49,,,,,,4400000.0,,0.0,4400000.0,973682271.65,,,,,,,0.0,973682271.65,,0.0,-969282271.65,88200000.0,88200000.0,2725239830.14,,,,0.0,2813439830.14,1790778500.0,239590151.75,,,583170.15,,,0.0,2030951821.9,,0.0,782488008.24,2352300.93,,0.0,138009268.01,5043483324.19,,0.0,5181492592.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.782852014,,,,,,,,,,,,-89.412219664,24.9514696475,,,-3.3050287838,-25.9127813127,,,,,,3.5348603132,-62.7897949175,21.0535727842,,,-24.5135577894,,,108.531928721,,,,,,,,,,417.5636265209,,,,,,,,391.4409412098,,,-389.2201550208,,,72.7568830517,,,,,78.3480082498,80.8265177682,-5.5141909016,,,-62.866982628,,,,63.0667469544,,,135.6697827648,288.1475165849,,,103.7844990667,-23.7089801865,,,74.8053714726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601003.SH,601003,柳钢股份,10087808,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2026-04-30 00:00:00,CNY,57986055839.65,,,,,,,,,,,,13815720.79,1812305927.45,,0.0,59812177487.89,53420445950.64,,,,,,2251065256.84,752085126.07,797427465.88,,0.0,57221023799.43,,0.0,2591153688.46,0.0,227500.0,37331550.69,,,,,0.0,37559050.69,2195913956.78,,,,,5000000.0,,0.0,2200913956.78,,0.0,-2163354906.09,10800000.0,10800000.0,14099114507.05,,,,0.0,14109914507.05,14909830056.46,1164899514.03,,,41484789.53,,,0.0,16116214360.02,,0.0,-2006299852.97,11136438.48,,0.0,-1567364632.12,6610847956.31,,0.0,5043483324.19,-602897061.48,82355161.96,2475815835.31,2475815835.31,,52837509.28,,,,,-17746941.61,-646377.53,1056539.98,1080331262.02,-310362.34,-2431250.23,6839683.52,-9270933.75,,2876735202.91,1494666952.52,-4884842712.7,,,0.0,2591153688.46,,,,,5043483324.19,6610847956.31,,,,,-1567364632.12,-17.2962362009,,,,,,,,,,,,-40.919301369,-11.0573617809,,,-17.1277544769,-21.3986434418,,,,,,-10.6315334176,11.5051594591,4.2779827537,,,-20.4399749524,,,927.7132639566,,116.6666666667,8229.2541889968,,,,,,6689.4407951583,20.5293893399,,,,,,,,20.8038294858,,,-18.7783530128,,,24.7654042977,,,,,24.8403966747,43.7440127136,-6.3215613159,,,-0.8136914253,,,,38.2437906611,,,-464.4255167116,502.283707593,,,18.4861199563,-22.5321571136,,,-23.7089801865,53.8484485062,6.2526085146,-12.6037784183,-12.6037784183,,61.167914115,,,,,-22534.3610934115,97.1527253201,,-3.0375476797,43.7090912995,98.7870295126,103.5086428442,-68.5760742201,,383.2065750392,-39.2581416254,-30.083998983,,,,927.7132639566,,,,,-23.7089801865,-22.5321571136,,,,,18.4861199563,标准无保留意见,,,,35451831.48,0.0
601003.SH,601003,柳钢股份,10087808,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-30 00:00:00,CNY,44271494619.79,,,,,,,,,,,,9078020.79,1295598945.66,,0.0,45576171586.24,42711418521.79,,,,,,1617132085.76,510177416.88,590451849.86,,0.0,45429179874.29,,0.0,146991711.95,,227500.0,2700.0,,,,,0.0,230200.0,1619159266.03,,,,,18380400.47,,0.0,1637539666.5,,0.0,-1637309466.5,,,9791104507.05,,,,0.0,9791104507.05,10203422422.6,821199057.92,,,21457317.53,,,0.0,11046078798.05,,0.0,-1254974291.0,-2563272.32,,0.0,-2747855317.87,6610847956.31,,0.0,3862992638.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.1920625505,,,,,,,,,,,,-36.9519659422,-45.3134096567,,,-25.9691352777,-25.6740440414,,,,,,-7.0386199318,-9.54353709,-65.8454562467,,,-26.1282355829,,,121.4057546266,,116.6666666667,-99.3914834731,,,,,,-58.0464441537,18.0925563824,,,,,,,,19.433121529,,,-19.4641407232,,,19.5377993738,,,,,19.510620044,8.5928070184,-1.9466167635,,,-2.1923833338,,,,7.7090455632,,,39.1620363331,-232.6961797898,,,18.3410136335,-22.5321571136,,,-25.2608016361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601003.SH,601003,柳钢股份,10087808,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-27 00:00:00,2025-08-27 00:00:00,CNY,33337210811.49,,,,,,,,,,,,9078020.79,895071586.69,,0.0,34241360418.97,31331840698.78,,,,,,1077025670.23,455138118.96,497763470.69,,0.0,33361767958.66,,0.0,879592460.31,,,1500.0,,,,,0.0,1500.0,932291928.04,,,,,15839313.38,,0.0,948131241.42,,0.0,-948129741.42,,,6271004507.05,,,,0.0,6271004507.05,7011597119.92,553395549.71,,,1570489.53,,,0.0,7566563159.16,,0.0,-1295558652.11,-255842.92,,0.0,-1364351776.14,6610847956.31,,0.0,5246496180.17,62355600.52,,1255277270.53,1255277270.53,,23117089.42,,,,,,-11587430.96,-840988.06,562437998.88,29945.48,0.0,,,,935826150.63,152205495.15,-2116954587.02,,,0.0,879592460.31,,,,,5246496180.17,6610847956.31,,,,,-1364351776.14,-11.7538632606,,,,,,,,,,,,-36.9519659422,-55.8614861941,,,-14.0092069958,-15.0799634049,,,,,,-6.8548458492,9.7836078814,-61.9784988008,,,-16.1253083918,,,1895.8135018532,,,-99.6619352629,,,,,,-99.6619352629,-27.6962757008,,,,,,,,-26.4678607449,,,26.4426650972,,,2.7056636987,,,,,2.6743461545,0.5803670011,4.0039727419,,,-21.444530225,,,,0.8172200875,,,7.2988294991,-109.8899308182,,,48.3175159725,-22.5321571136,,,-10.9827107754,117.5928806709,,-8.698442489,-8.698442489,,49.876203299,,,,,,-704.0655294238,,38.4005202566,108.487102744,,,,,219.4707073332,106.6654092476,-228.1514588576,,,,1895.8135018532,,,,,-10.9827107754,-22.5321571136,,,,,48.3175159725,,,,,17725915.74,-4.7505650955
601003.SH,601003,柳钢股份,10087808,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,14703186854.11,,,,,,,,,,,,4991849.03,263845796.46,,0.0,14972024499.6,17682950315.86,,,,,,578245604.32,164740395.26,325435633.43,,0.0,18751371948.87,,0.0,-3779347449.27,,,,,,,,,,188128033.3,,,,,10000000.0,,0.0,198128033.3,,0.0,-198128033.3,,,1577500000.0,,,,0.0,1577500000.0,990329583.35,253572630.68,,,1570489.53,,,0.0,1245472703.56,,0.0,332027296.44,-1250242.88,,0.0,-3646698429.01,6610847956.31,,0.0,2964149527.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0203767032,,,,,,,,,,,,554.7569478411,-31.3584451566,,,-14.3767094384,8.2477790599,,,,,,-6.5320057514,-51.8539962133,82.4381959646,,,7.3050317229,,,-34163.2661968903,,,,,,,,,,-81.4850528714,,,,,,,,-80.5008855039,,,80.4923669687,,,-55.546321779,,,,,-55.5660809302,-67.7421164376,1.4678866054,,,-21.444530225,,,,-62.5076978688,,,45.4516528788,-649.5434203311,,,-369.9064547736,-22.5321571136,,,-61.7904756114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601003.SH,601003,柳钢股份,10087808,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,70112958801.41,,,,,,,,,,,,23384491.23,2037612065.19,,0.0,72173955357.83,67963770970.15,,,,,,2518858544.77,674484597.59,764713168.42,,0.0,71921827280.93,,0.0,252128076.9,0.0,105000.0,448198.0,,,,,0.0,553198.0,1821890883.88,,,,,,,0.0,1821890883.88,,0.0,-1821337685.88,,,11300499995.5,,1862767.59,,0.0,11302362763.09,10372487712.7,1243508677.55,,,41825116.92,,,0.0,11657821507.17,,0.0,-355458744.08,1849035.32,,0.0,-1922819317.74,8533667274.05,,0.0,6610847956.31,-1306341914.77,77508837.77,2832863698.8,2832863698.8,,32784136.7,,,,,-78407.08,-22701621.82,,1114174854.46,-551354.29,-200437706.88,-194938151.98,-5499554.9,,-1015772745.57,2460686901.12,-3755144945.49,,,0.0,252128076.9,,,,,6610847956.31,8533667274.05,,,,,-1922819317.74,-8.416591372,,,,,,,,,,,,-99.0254989727,6.6375684058,,,-10.7496038886,-1.5773458901,,,,,,3.5160612475,-62.3436533105,-17.5729631506,,,-3.0770809447,,,-96.2152235403,-100.0,14.5038167939,-82.2360160627,,,,,,-88.0124506535,-2.3039185162,,,,,,,,-2.3039185162,,,2.0912980482,,,-30.7953176212,,-63.1193566429,,,-30.8053127712,-30.5821167479,-23.646595449,,,-26.7225767387,,,,-29.8895632413,,,-21.0486980489,-76.3447458006,,,-142.5820452133,112.3804631801,,,-22.5321571136,63.0380979168,83.1631117078,5.2801872393,5.2801872393,,3.3638931899,,,,,,-377.132096466,,-13.9608802986,65.8902149708,70.9515809173,71.1087053425,64.0145636708,,-112.6369832912,177.2320673814,-76.0328683361,,,,-96.2152235403,,,,,-22.5321571136,112.3804631801,,,,,-142.5820452133,标准无保留意见,,,,35451831.48,31.9891886893
