company,year,status,tif
广东韶钢松山股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\广东韶钢松山股份有限公司_2021_rgb.tif
安徽海螺水泥股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\安徽海螺水泥股份有限公司_2019_rgb.tif
安徽海螺水泥股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\安徽海螺水泥股份有限公司_2021_rgb.tif
北新集团建材股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\北新集团建材股份有限公司_2019_rgb.tif
北新集团建材股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\北新集团建材股份有限公司_2021_rgb.tif
北京金隅集团股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\北京金隅集团股份有限公司_2019_rgb.tif
北京金隅集团股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\北京金隅集团股份有限公司_2021_rgb.tif
华新水泥股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\华新水泥股份有限公司_2019_rgb.tif
华新水泥股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\华新水泥股份有限公司_2021_rgb.tif
三棵树涂料股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\三棵树涂料股份有限公司_2019_rgb.tif
三棵树涂料股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\三棵树涂料股份有限公司_2021_rgb.tif
上海耀皮玻璃集团股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\上海耀皮玻璃集团股份有限公司_2019_rgb.tif
上海耀皮玻璃集团股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\上海耀皮玻璃集团股份有限公司_2021_rgb.tif
广东塔牌集团股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\广东塔牌集团股份有限公司_2019_rgb.tif
广东塔牌集团股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\广东塔牌集团股份有限公司_2021_rgb.tif
中国巨石股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国巨石股份有限公司_2019_rgb.tif
中国巨石股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国巨石股份有限公司_2021_rgb.tif
凯盛科技股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\凯盛科技股份有限公司_2019_rgb.tif
凯盛科技股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\凯盛科技股份有限公司_2021_rgb.tif
云南驰宏锌锗股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\云南驰宏锌锗股份有限公司_2019_rgb.tif
云南驰宏锌锗股份有限公司,2021,Batch job 'j-26060815252444e9b7a905052b034c04' didn't finish successfully. Status: error (after 0:02:58).,
