code,year,index,mean,std,min,max,p10,p90,valid_pixels,status,name,industry,group
601991,2019,NDWI,-0.3983,0.1683,-0.8198,0.0167,-0.6203,-0.1518,31310,ok_cached,大唐国际发电股份有限公司,发电,争议
601991,2021,NDVI,0.4122,0.2149,-0.0153,0.8772,0.0986,0.7033,31310,ok_cached,大唐国际发电股份有限公司,发电,争议
601991,2021,NDWI,-0.4348,0.1704,-0.8014,0.0512,-0.6505,-0.1745,31310,ok_cached,大唐国际发电股份有限公司,发电,争议
000717,2019,NDVI,0.5238,0.3118,-0.4151,0.8971,0.0445,0.8413,38148,ok,广东韶钢松山股份有限公司,钢铁,标杆
000717,2019,NDWI,-0.4716,0.2456,-0.801,0.5798,-0.7224,-0.0921,38148,ok,广东韶钢松山股份有限公司,钢铁,标杆
000717,2021,NDVI,0.5216,0.3308,-0.9591,0.923,0.0191,0.8574,38148,ok,广东韶钢松山股份有限公司,钢铁,标杆
000717,2021,NDWI,-0.4783,0.2555,-0.8267,0.8299,-0.7368,-0.0872,38148,ok,广东韶钢松山股份有限公司,钢铁,标杆
000778,2019,NDVI,0.1676,0.1389,-0.0727,0.7787,0.0485,0.3779,34440,ok_cached,新兴铸管股份有限公司,钢铁,绿色
000778,2019,NDWI,-0.254,0.1137,-0.694,0.0443,-0.4204,-0.1356,34440,ok_cached,新兴铸管股份有限公司,钢铁,绿色
000778,2021,NDVI,0.1616,0.1573,-0.0904,0.8344,0.0353,0.4059,34440,ok_cached,新兴铸管股份有限公司,钢铁,绿色
000778,2021,NDWI,-0.245,0.1274,-0.7396,0.1344,-0.4306,-0.1136,34440,ok_cached,新兴铸管股份有限公司,钢铁,绿色
000898,2019,NDVI,0.275,0.2509,-0.2339,0.8806,0.0211,0.6843,30552,ok_cached,鞍钢股份有限公司,钢铁,争议
000898,2019,NDWI,-0.3319,0.1919,-0.7955,0.2853,-0.6263,-0.1182,30552,ok_cached,鞍钢股份有限公司,钢铁,争议
000898,2021,NDVI,0.1931,0.2305,-0.6253,0.8574,-0.0397,0.5518,30552,ok_cached,鞍钢股份有限公司,钢铁,争议
000898,2021,NDWI,-0.2176,0.1806,-0.7672,0.6093,-0.488,-0.0281,30552,ok_cached,鞍钢股份有限公司,钢铁,争议
000932,2019,NDVI,0.304,0.1972,-0.2698,0.8374,0.0683,0.5961,36743,ok,湖南华菱钢铁股份有限公司,钢铁,独立测试集
000932,2019,NDWI,-0.3144,0.16,-1.0641,0.1865,-0.5474,-0.1252,36743,ok,湖南华菱钢铁股份有限公司,钢铁,独立测试集
000932,2021,NDVI,0.3559,0.2129,-0.1321,0.9928,0.0954,0.664,36743,ok,湖南华菱钢铁股份有限公司,钢铁,独立测试集
000932,2021,NDWI,-0.3688,0.1762,-1.3149,0.7195,-0.6105,-0.1468,36743,ok,湖南华菱钢铁股份有限公司,钢铁,独立测试集
000959,2019,NDVI,0.2285,0.1906,-0.0517,0.8246,0.0503,0.5364,32436,ok_cached,首钢股份有限公司,钢铁,争议
000959,2019,NDWI,-0.2703,0.1529,-0.7411,0.0543,-0.5123,-0.1112,32436,ok_cached,首钢股份有限公司,钢铁,争议
000959,2021,NDVI,0.2556,0.2047,-0.0888,0.9043,0.0491,0.5783,32436,ok_cached,首钢股份有限公司,钢铁,争议
000959,2021,NDWI,-0.3002,0.168,-0.8176,0.1099,-0.554,-0.1146,32436,ok_cached,首钢股份有限公司,钢铁,争议
002110,2019,NDVI,0.4713,0.3298,-0.565,0.8844,0.0667,0.8162,36381,ok,福建三钢闽光股份有限公司,钢铁,标杆
002110,2019,NDWI,-0.4412,0.3058,-0.8165,0.6903,-0.7255,-0.1305,36381,ok,福建三钢闽光股份有限公司,钢铁,标杆
002110,2021,NDVI,0.4391,0.3965,-1.0707,0.8802,0.0412,0.8178,36096,ok,福建三钢闽光股份有限公司,钢铁,标杆
002110,2021,NDWI,-0.4025,0.3611,-0.79,1.0408,-0.706,-0.1022,36096,ok,福建三钢闽光股份有限公司,钢铁,标杆
600117,2019,NDVI,0.4487,0.1631,-0.1,0.8568,0.2626,0.6505,34440,ok_cached,西宁特钢,钢铁,棕色
600117,2019,NDWI,-0.4628,0.1303,-0.774,0.1565,-0.6005,-0.3394,34440,ok_cached,西宁特钢,钢铁,棕色
600117,2021,NDVI,0.3678,0.1344,-0.107,0.8236,0.2202,0.5238,34440,ok_cached,西宁特钢,钢铁,棕色
600117,2021,NDWI,-0.4093,0.1122,-0.714,0.1529,-0.5194,-0.3126,34440,ok_cached,西宁特钢,钢铁,棕色
600126,2019,NDVI,0.351,0.2233,-0.274,0.8416,0.0755,0.6576,35754,ok_cached,杭州钢铁股份有限公司,钢铁,绿色
600126,2019,NDWI,-0.3343,0.1819,-0.7463,0.3474,-0.5727,-0.1001,35754,ok,杭州钢铁股份有限公司,钢铁,绿色
600126,2021,NDVI,0.3838,0.2612,-0.216,0.9016,0.0572,0.7522,35754,ok,杭州钢铁股份有限公司,钢铁,绿色
600126,2021,NDWI,-0.3689,0.2064,-0.808,0.3746,-0.6413,-0.0965,35754,ok,杭州钢铁股份有限公司,钢铁,绿色
600569,2019,NDVI,0.2854,0.2185,-0.1103,0.8841,0.0604,0.6286,34645,ok_cached,安阳钢铁股份有限公司,钢铁,争议
600569,2019,NDWI,-0.3067,0.1846,-0.8441,0.112,-0.5849,-0.1079,34645,ok_cached,安阳钢铁股份有限公司,钢铁,争议
600569,2021,NDVI,0.2956,0.21,-0.0621,0.8398,0.0721,0.6246,34645,ok_cached,安阳钢铁股份有限公司,钢铁,争议
600569,2021,NDWI,-0.3145,0.1757,-0.7722,0.0857,-0.5804,-0.1228,34645,ok_cached,安阳钢铁股份有限公司,钢铁,争议
600782,2019,NDVI,0.2362,0.1985,-0.2929,0.7768,0.0472,0.5423,36946,ok,新余钢铁股份有限公司,钢铁,独立测试集
600782,2019,NDWI,-0.2363,0.1777,-0.6775,0.5325,-0.4888,-0.0725,36946,ok,新余钢铁股份有限公司,钢铁,独立测试集
600782,2021,NDVI,0.0428,0.1877,-0.477,0.7341,-0.1288,0.3281,36946,ok,新余钢铁股份有限公司,钢铁,独立测试集
600782,2021,NDWI,-0.0035,0.1773,-0.6179,0.5873,-0.2609,0.1742,36946,ok,新余钢铁股份有限公司,钢铁,独立测试集
