code,name,industry,group,lat,lon,facility,RGB_2019,RGB_2021,NDVI_2019,NDVI_2021,NDWI_2019,NDWI_2021,done,total
000778,新兴铸管股份有限公司,钢铁,绿色,36.7,114.2,新兴铸管武安工业区,1,0,1,1,1,1,5,6
600117,西宁特钢,钢铁,棕色,36.6,101.72,西宁特钢本部,0,1,1,1,1,1,5,6
600126,杭州钢铁股份有限公司,钢铁,绿色,29.96,121.66,杭钢宁波钢铁基地,1,0,1,1,1,1,5,6
600795,国电电力发展股份有限公司,发电,争议,40.04,113.3,国电大同第二发电厂,1,0,1,1,1,1,5,6
000717,广东韶钢松山股份有限公司,钢铁,标杆,24.72,113.58,韶钢松山曲江厂区,1,1,1,1,1,1,6,6
000786,北新集团建材股份有限公司,建材,绿色,39.48,115.98,北新建材涿州生产基地,1,1,1,1,1,1,6,6
000932,湖南华菱钢铁股份有限公司,钢铁,独立测试集,27.82,112.93,华菱湘钢本部,1,1,1,1,1,1,6,6
000959,首钢股份有限公司,钢铁,争议,40.0,118.7,首钢股份迁安厂区,1,1,1,1,1,1,6,6
002110,福建三钢闽光股份有限公司,钢铁,标杆,26.25,117.63,三钢闽光三明本部,1,1,1,1,1,1,6,6
600011,华能国际电力股份有限公司,发电,绿色,28.15,121.28,华能玉环电厂,1,1,1,1,1,1,6,6
600023,浙江浙能电力股份有限公司,发电,标杆,30.63,120.83,浙能嘉兴发电厂,1,1,1,1,1,1,6,6
600176,中国巨石股份有限公司,建材,标杆,30.63,120.54,中国巨石桐乡生产基地,1,1,1,1,1,1,6,6
600509,新疆天富能源股份有限公司,发电,独立测试集,44.3,86.04,天富热电石河子电厂,1,1,1,1,1,1,6,6
600552,凯盛科技股份有限公司,建材,标杆,32.92,117.38,凯盛科技蚌埠玻璃产业园,1,1,1,1,1,1,6,6
600569,安阳钢铁股份有限公司,钢铁,争议,36.11,114.3,安阳钢铁集团本部,1,1,1,1,1,1,6,6
600578,北京京能电力股份有限公司,发电,棕色,40.5,112.68,京能岱海发电厂,1,1,1,1,1,1,6,6
600585,安徽海螺水泥股份有限公司,建材,绿色,31.28,118.35,海螺水泥白马山水泥厂,1,1,1,1,1,1,6,6
600726,华电能源股份有限公司,发电,棕色,47.25,123.62,华电富拉尔基发电厂,1,1,1,1,1,1,6,6
600782,新余钢铁股份有限公司,钢铁,独立测试集,27.8,114.93,新余钢铁集团本部,1,1,1,1,1,1,6,6
600801,华新水泥股份有限公司,建材,争议,30.22,115.08,华新水泥黄石工厂,1,1,1,1,1,1,6,6
600819,上海耀皮玻璃集团股份有限公司,建材,棕色,31.14,121.62,耀皮玻璃康桥基地,1,1,1,1,1,1,6,6
600900,中国长江电力股份有限公司,发电,绿色,30.83,111.0,三峡水电站,1,1,1,1,1,1,6,6
601003,柳州钢铁股份有限公司,钢铁,绿色,24.36,109.38,柳州钢铁集团本部,1,1,1,1,1,1,6,6
601991,大唐国际发电股份有限公司,发电,争议,40.28,111.23,大唐托克托发电厂,1,1,1,1,1,1,6,6
601992,北京金隅集团股份有限公司,建材,争议,39.67,118.2,金隅冀东水泥唐山工厂,1,1,1,1,1,1,6,6
603737,三棵树涂料股份有限公司,建材,争议,25.37,119.0,三棵树莆田生产基地,1,1,1,1,1,1,6,6
