SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600004.SH,600004,白云机场,10005867,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,2272226884.96,,,,,,,,,,,,,26356559.77,,0.0,2298583444.73,694975707.26,,,,,,622872206.36,179557340.55,39337730.58,,0.0,1536742984.75,,0.0,761840459.98,,,1800.0,,,,,0.0,1800.0,385058858.07,,,,,,,0.0,385058858.07,,0.0,-385057058.07,,,,,,,,,,,,,1540178.82,,,0.0,1540178.82,,0.0,-1540178.82,-3968.96,,0.0,375239254.13,7060837002.76,,0.0,7436076256.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5592025671,,,,,,,,,,,,,24.635078784,,,8.707986024,27.5999694402,,,,,,11.6420455756,280.9168392946,-21.8597569963,,,28.0564056644,,,-16.6845886787,,,-55.1681195517,,,,,,-99.909796462,239.5700332863,,,,,,,,239.5700332863,,,-245.6510429311,,,,,,,,,,,,,-58.1056094912,,,,-58.1056094912,,,58.1056094912,-972.5759377365,,,-53.0556588969,49.6418333407,,,34.7647643696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600004.SH,600004,白云机场,10005867,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,8188782551.38,,,,,,,,,,,,,594798905.17,,0.0,8783581456.55,2360859679.83,,,,,,2484992962.86,485252576.37,377687865.81,,0.0,5708793084.87,,0.0,3074788371.68,3923320.85,45036845.3,650935.04,,,,,0.0,49611101.19,737422743.94,26550000.0,,,,758426388.89,,0.0,1522399132.83,,0.0,-1472788031.64,1596199994.0,,,,,,0.0,1596199994.0,,377872438.77,6297654.91,,477974485.55,,,0.0,855846924.32,,0.0,740353069.68,-7784.09,,0.0,2342345625.63,4718491377.13,,0.0,7060837002.76,1513673711.49,-792778.9,1273924340.59,1273924340.59,,62168424.05,3706879.16,,,,-378584335.83,10360.08,-7909.0,98767821.14,-130984619.36,254879084.45,255000055.39,-120970.94,,-13123981.13,-621942507.32,685343021.64,,,0.0,3074788371.68,,,,,7060837002.76,4718491377.13,,,,,2342345625.63,0.0217634008,,,,,,,,,,,,,67.2526430001,,,2.8177463834,12.1050117386,,,,,,4.8166534935,26.9202927968,38.0063407618,,,11.2231424255,,,-9.8336019437,,44.3761774479,-83.0300351115,,,,,,41.6249991626,90.2022461198,,,,,,,,292.6699263546,,,-317.6053166074,,,,,,,,,,114.5297149135,,,-30.1613265741,,,,-0.5451222898,,,186.0337543024,-125.4706485582,,,6.6183258418,87.1268678741,,,49.6418333407,56.7350839026,-192.4030879631,-6.7086613482,-6.7086613482,,1.8236963468,-7.2826574176,,,,-4259.8127134615,-99.1512617077,66.6666666667,-10.2077755898,2.8500054471,-20.6422030982,-17.9648818139,-101.1705470262,,61.023074112,-791.5757466801,109.3319079885,,,,-9.8336019437,,,,,49.6418333407,87.1268678741,,,,,6.6183258418,标准无保留意见,,,,277510053.75,-2.4868913774
600004.SH,600004,白云机场,10005867,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,6735682555.29,,,,,,,,,,,,,278718531.21,,0.0,7014401086.5,2107019324.44,,,,,,1662408828.5,243024346.06,240047215.84,,0.0,4252499714.84,,0.0,2761901371.66,,11201604.33,509478.6,1991472.14,,,,0.0,13702555.07,453988037.72,4500000.0,,,,,,0.0,458488037.72,,0.0,-444785482.65,,,,,,,,,,377872438.77,6297654.91,,185771872.87,,,0.0,563644311.64,,0.0,-563644311.64,-5064.42,,0.0,1753466512.95,4718491377.13,,0.0,6471957890.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5135471953,,,,,,,,,,,,,-14.085308502,,,6.4463732003,3.444231845,,,,,,10.9695376898,51.1974527301,116.4494298638,,,11.7145322808,,,-0.7593091862,,54846.13268964,-70.4895632608,,,,,,684.4277438415,23.1687398966,,,,,,,,24.3896075924,,,-21.2466622532,,,,,,,,,,111.2559132306,,,-47.9703352018,,,,5.1733295316,,,-5.1733295316,-156.1303214923,,,-6.7443591209,87.1268678741,,,47.0289347129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600004.SH,600004,白云机场,10005867,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-21 00:00:00,2025-08-21 00:00:00,CNY,4406634565.99,,,,,,,,,,,,,143576320.49,,0.0,4550210886.48,1402391595.64,,,,,,1104830015.06,148362772.99,159029068.52,,0.0,2814613452.21,,0.0,1735597434.27,,7199226.34,454840.67,1991472.14,,,,0.0,9645539.15,287246142.64,4500000.0,,,,,,0.0,291746142.64,,0.0,-282100603.49,,,,,,,,,,377872438.77,6297654.91,,84054635.31,,,0.0,461927074.08,,0.0,-461927074.08,-3138.23,,0.0,991566618.47,4718491377.13,,0.0,5710057995.6,769771449.32,-1126247.73,652033932.16,652033932.16,,31301475.41,1942463.09,,,,-17190.73,-67882.09,25884.0,50130113.74,-77497741.87,156396349.59,153380643.89,3015705.7,,-25177628.15,-115329729.34,147411174.79,,,0.0,1735597434.27,,,,,5710057995.6,4718491377.13,,,,,991566618.47,12.7637557534,,,,,,,,,,,,,-39.1201384921,,,9.804573244,41.1540057955,,,,,,11.3974588848,64.303267757,61.0247829498,,,29.4450933785,,,-11.878427701,,35213.6599086063,-73.6543461915,,,,,,452.1764718271,13.4484051253,,,,,,,,15.225688602,,,-12.1901766349,,,,,,,,,,,,,-71.2820019865,,,,57.8214068374,,,-57.8214068374,-123.5010034747,,,-30.4370709653,87.1268678741,,,44.669382096,64.8412042883,-591.5500059575,-3.1680758351,-3.1680758351,,1.9592624396,-2.8830444753,,,,-100.6248420083,90.8080684529,2.8571428571,-7.939038209,-17.9583189526,5.9614585222,5.963394853,5.8630687927,,41.4199890686,-430.1721328241,-73.396037832,,,,-11.878427701,,,,,44.669382096,87.1268678741,,,,,-30.4370709653,,,,,142779466.56,0.8133138479
600004.SH,600004,白云机场,10005867,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,2093076248.93,,,,,,,,,,,,233606.12,21146983.68,,0.0,2114456838.73,544651938.64,,,,,,557919019.8,47138199.74,50342472.8,,0.0,1200051630.98,,0.0,914405207.75,,,4015.0,1991472.14,,,,0.0,1995487.14,113396006.81,,,,,,,0.0,113396006.81,,0.0,-111400519.67,,,,,,,,,,,,,3676336.62,,,0.0,3676336.62,,0.0,-3676336.62,-370.04,,0.0,799327981.42,4718491377.13,,0.0,5517819358.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6785382674,,,,,,,,,,,,48857.6075111074,-85.4425154194,,,-2.293004354,-6.1284290955,,,,,,40.5872582524,16.9104639272,-15.7403182432,,,11.4124421707,,,-15.8745214274,,,-69.1153846154,,,,,,15249.9010769231,-49.2761280001,,,,,,,,-49.2761280001,,,50.1658438334,,,,,,,,,,,,,-98.278566499,,,,-98.278566499,,,98.278566499,-182.9648894668,,,23.0020386252,87.1268678741,,,73.9870773195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600004.SH,600004,白云机场,10005867,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,8187000781.59,,,,,,,,,,,,235398.23,355629002.03,,0.0,8542865181.85,2105935892.8,,,,,,2370799753.7,382328598.27,273674284.62,,0.0,5132738529.39,,0.0,3410126652.46,,31194097.32,3835806.64,,,,,0.0,35029903.96,387704540.29,,,,,,,0.0,387704540.29,,0.0,-352674636.33,,,,,,,,,,176139906.27,,,684398002.0,,,0.0,860537908.27,,0.0,-860537908.27,30561.02,,0.0,2196944668.88,2521546708.25,,0.0,4718491377.13,965752959.58,857957.15,1365533348.54,1365533348.54,,61054966.85,3998042.93,,,,9100994.73,1220644.82,-23727.0,109995962.11,-134827201.96,321177117.31,310842552.59,10334564.72,,-33671155.0,89931220.16,327395392.43,,,0.0,3410126652.46,,,,,4718491377.13,2521546708.25,,,,,2196944668.88,21.6443146891,,,,,,,,,,,,-96.4670734298,-18.3805338241,,,19.1032149075,0.5546821469,,,,,,7.64560449,52.0458777239,3.34945597,,,6.6434054219,,,44.5173985885,,-24.3429471584,-10.0870521693,,,,,,-23.006210975,-35.0837774171,,,,,,,,-35.0837774171,,,36.079703808,,,,,,,,,,350.4209462925,,,46.7232622666,,,,-42.8426930804,,,42.8426930804,-14.7998057411,,,626.504970074,13.6268144896,,,87.1268678741,100.778711594,37.4025024103,-0.2417200439,-0.2417200439,,1.3866851017,-1.3902340433,,,,133.7002759324,135.5615390029,-167.3469387755,-22.1660712027,-44.1844018394,82.1685285002,74.5013671259,666.530104411,,-2475.2129082771,125.4104897074,45.4813787519,,,,44.5173985885,,,,,87.1268678741,13.6268144896,,,,,626.504970074,标准无保留意见,,,,284587434.11,-3.3743686688
600004.SH,600004,白云机场,10005867,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,6264961701.11,,,,,,,,,,,,235398.23,324413119.98,,0.0,6589610219.32,2036864972.42,,,,,,1498076736.29,160733095.48,110902216.74,,0.0,3806577020.93,,0.0,2783033198.39,,20386.52,1726435.31,,,,,0.0,1746821.83,368590307.98,,,,,,,0.0,368590307.98,,0.0,-366843486.15,,,,,,,,,,178869520.38,,,357049912.95,,,0.0,535919433.33,,0.0,-535919433.33,9022.61,,0.0,1880279301.52,2521546708.25,,0.0,4401826009.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3377908444,,,,,,,,,,,,-83.3129553496,105.2216081648,,,7.9028068589,-8.3769443629,,,,,,8.6955791208,-22.0873596603,-72.2393205618,,,-9.5205269476,,,46.4854430765,,-99.9353009421,454.832027268,,,,,,-94.510462137,-23.2579570707,,,,,,,,-23.2579570707,,,18.2023541471,,,,,,,,,,573.1022683091,,,65.8107419423,,,,-56.8471502432,,,56.8471502432,-42.7839539563,,,797.5107089235,13.6268144896,,,81.2460225553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600004.SH,600004,白云机场,10005867,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-31 00:00:00,2025-08-21 00:00:00,CNY,3907846574.06,,,,,,,,,,,,235398.23,235835491.3,,0.0,4143917463.59,993518807.87,,,,,,991791039.15,90298126.76,98760616.6,,0.0,2174368590.38,,0.0,1969548873.21,,20386.52,1726435.31,,,,,0.0,1746821.83,253195399.55,,,,,,,0.0,253195399.55,,0.0,-251448577.72,,,,,,,,,,,,,292689745.54,,,0.0,292689745.54,,0.0,-292689745.54,13353.6,,0.0,1425423903.55,2521546708.25,,0.0,3946970611.8,466977569.5,229121.7,673366699.86,673366699.86,,30699982.19,2000127.66,,,,2751212.27,-738496.47,25165.0,54453171.86,-65699259.33,147597392.27,144748706.95,2848685.32,,-42979896.64,-21753261.29,554094814.37,,,0.0,1969548873.21,,,,,3946970611.8,2521546708.25,,,,,1425423903.55,13.3303905586,,,,,,,,,,,,-78.1273225376,74.4287722301,,,15.6075319856,-20.3110092478,,,,,,20.2528782249,-29.3734574198,-73.6269530902,,,-15.5200643382,,,94.8810174394,,-99.4208375,651.0694646738,,,,,,-53.4163901322,-2.809267046,,,,,,,,-2.809267046,,,2.0701846258,,,,,,,,,,,,,66.9635993599,,,,-75.3609442512,,,75.3609442512,81.8243709688,,,428.4199581858,13.6268144896,,,121.1035867048,173.9991484528,,-4.0419774579,-4.0419774579,,0.0052237938,-0.9900741806,,,,5065.4356505093,,,-28.4610305955,-42.961428694,411.5661568659,401.6927371608,,,-93.9998060133,94.5755457195,85.8925091115,,,,94.8810174394,,,,,121.1035867048,13.6268144896,,,,,428.4199581858,标准无保留意见,,,,141627589.76,-7.7634479414
600004.SH,600004,白云机场,10005867,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-30 00:00:00,CNY,2018813424.56,,,,,,,,,,,,477.16,145265368.91,,0.0,2164079270.63,580209677.32,,,,,,396848922.68,40319915.05,59746810.99,,0.0,1077125326.04,,0.0,1086953944.59,,,13000.0,,,,,0.0,13000.0,223555502.25,,,,,,,0.0,223555502.25,,0.0,-223542502.25,,,,,,,,,,,,,213562511.59,,,0.0,213562511.59,,0.0,-213562511.59,446.02,,0.0,649849376.77,2521546708.25,,0.0,3171396085.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5510039884,,,,,,,,,,,,-99.8954001013,316.3007867623,,,50.1071906312,-3.3846349267,,,,,,-2.9994963244,-35.4171510404,-49.2593657777,,,-9.4728540791,,,331.5836405628,,,358.5537918871,,,,,,-98.0086851961,40.9669777863,,,,,,,,40.9669777863,,,-41.541445603,,,,,,,,,,,,,378.0569909817,,,,378.0569909817,,,-378.0569909817,116.2248090215,,,1219.6957503585,13.6268144896,,,39.8082410404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600004.SH,600004,白云机场,10005867,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-30 00:00:00,CNY,6730278190.57,,,,,,,,,,,,6662981.11,435715912.75,,0.0,7172657084.43,2094319078.77,,,,,,2202412039.89,251456076.28,264804765.59,,0.0,4812991960.53,,0.0,2359665123.9,,41230917.87,4266133.78,,,,,0.0,45497051.65,597238294.01,,,,,,,0.0,597238294.01,,0.0,-551741242.36,,,,,,,,,1000000000.0,39105620.58,26497401.4,,466455006.13,,,0.0,1505560626.71,,0.0,-1505560626.71,35869.66,,0.0,302399124.49,2219147583.76,,0.0,2521546708.25,481003664.14,624411.59,1368842114.3,1368842114.3,,60219906.38,4054408.7,,,,-27005697.96,518185.11,35231.0,141321354.08,-93510255.09,176307686.05,178131872.38,-1824186.33,,1417605.76,-353913762.37,225042816.64,,,0.0,2359665123.9,,,,,2521546708.25,2219147583.76,,,,,302399124.49,37.075382923,,,,,,,,,,,,-97.6307474415,113.5302766755,,,32.9453836894,-0.1058522707,,,,,,12.4411785808,-4.1039342303,26.576822895,,,6.3248911131,,,171.6922307405,,-23.5833612318,144.3727537071,,,,,,-18.3193936391,-30.8793388794,,,,,,,,-30.8793388794,,,31.7448094047,,,,,,,,,0.0,-16.2050859309,,,31.3098656522,,,,7.3942560789,,,-351.9315250522,-79.2430774978,,,-54.0382122463,42.1426496269,,,13.6268144896,144.0564329475,85.8152978443,-4.7462931664,-4.7462931664,,-0.6286284814,-13.8428893992,,,,-6286.519671805,39.8419826547,296.0,2.417987975,9.9029871542,146.072732805,146.8255702286,19.1659833552,,-86.6886820973,-197.0673409741,381.8568618007,,,,171.6922307405,,,,,13.6268144896,42.1426496269,,,,,-54.0382122463,标准无保留意见,,,,294525821.14,-22.1669403147
