SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
601991.SH,601991,大唐发电,10009193,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-29 00:00:00,2026-04-29 00:00:00,CNY,31976258000,,,,,,,,,,,,18548000.0,503284000,,0.0,32498090000,18803420000,,,,,,2378696000,1971678000,775521000,,0.0,23929315000,,0.0,8568775000,12699000.0,475784000.0,389000.0,,,18746000,,0.0,507618000,4189065000,4200000.0,,,,2929000.0,,0.0,4196194000,,0.0,-3688576000,11092840000.0,92840000.0,38378291000,,16556000.0,,0.0,49487687000,40228663000,1735097000,,,12277327000.0,,,0.0,54241087000,,0.0,-4753400000,-2030000.0,,0.0,124769000,8881850000.0,,0.0,9006619000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0336845491,,,,,,,,,,,,-47.405432995,-17.4428618531,,,-1.3868524077,-1.2430036435,,,,,,14.2050547597,7.231066846,13.8880975108,,,1.2127606848,,,-7.9867237109,-86.296831837,-9.9212968134,-3.7128712871,,,108.2657482502,,,-19.4594646053,-7.8714883285,-93.7777777778,,,,-11.430299365,,,-9.1297628063,,,7.497060205,442.1508445418,101.4756944444,16.5946024442,,-97.9952047662,,,38.2804611949,14.1938375233,6.0386068956,,,888.8916364082,,,,42.3418459347,,,-105.0379091948,-705.5555555556,,,-95.8499752533,23.22231946,,,-11.824745958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601991.SH,601991,大唐发电,10009193,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-28 00:00:00,2026-03-28 00:00:00,CNY,135522420000,,,,,,,,,,,,363259000.0,2035726000,,0.0,137921405000,77387170000,,,,,,10575963000,8913761000,3208818000,,0.0,100085712000,,0.0,37835693000,147623000.0,2358989000.0,82096000.0,116478000.0,,140555000,,0.0,2845741000,28308624000,821675000.0,,,,175598000.0,,0.0,29305897000,,0.0,-26460156000,23695498000.0,1195498000.0,151398455000,,4294388000.0,,0.0,179388341000,151451406000,9659852000,1582496000.0,,27976446000.0,,,0.0,189087704000,,0.0,-9699363000,-3647000.0,,0.0,1672527000,7207988000.0,,0.0,8880515000.0,10023115000.0,1686234000.0,15409073000.0,15409073000.0,,268566000.0,262635000.0,,,,-32511000.0,531268000.0,34648000.0,4385728000.0,-2345413000.0,599462000.0,535319000.0,64143000.0,,510772000.0,119726000.0,6392478000.0,,,0.0,37835693000.0,,,,,8880515000.0,7207988000.0,,,,,1672527000.0,-0.91384001,,,,,,,,,,,,-36.9751237911,-17.8514371679,,,-1.3626660364,-16.002738591,,,,,,7.4889225346,11.9733553049,-14.9619082475,,,-11.976735604,,,44.8363023753,-79.0018918112,31.5324070822,9.6806947228,-67.186707684,,15.1806932721,,,-6.6464524392,-7.1244702499,-24.8067492045,,,,-7.4030911689,,,-7.7344702945,,,7.8499760484,426.2199017758,19.1963827252,9.8604409131,,145.3498576254,,,24.5206915543,19.8947295257,15.0476263977,4.1777866723,,247.710888027,,,,32.4490410854,,,-845.8346245322,-164.2303628038,,,230.158452225,-15.1300585743,,,23.2037983415,46.1545875799,36.2966878681,8.6543188636,8.6543188636,,-8.1602713821,-26.5362808144,,,,-122.8001644737,128.8281381235,183.8366240805,-16.628241549,16.7170714854,559.0029132084,1590.8370183196,8.1578281764,,143.3481031619,107.5684409553,143.3433145358,,,,44.8363023753,,,,,23.2037983415,-15.1300585743,,,,,230.158452225,标准无保留意见,,,,210190000.0,16.5068455185
601991.SH,601991,大唐发电,10009193,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,99192721000,,,,,,,,,,,,364250000.0,1767965000,,0.0,101324936000,56471661000,,,,,,6411129000,6620614000,2098467000,,0.0,71601871000,,0.0,29723065000,141514000.0,2064074000.0,26155000.0,11114000.0,,115247000,,0.0,2358104000,17073957000,159391000.0,,,,43509000.0,,0.0,17276857000,,0.0,-14918753000,22876852000.0,376852000.0,103588170000,,2059450000.0,,0.0,128524472000,119302181000,7247202000,1380321000.0,,13789322000.0,,,0.0,140338705000,,0.0,-11814233000,-2083000.0,,0.0,2987996000,7207988000.0,,0.0,10195984000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3702526663,,,,,,,,,,,,-1.3920171525,-36.0437963967,,,-2.2945845641,-16.1264514509,,,,,,8.0482622714,14.5394522408,-18.2439450478,,,-12.2634137862,,,34.527138572,-66.2604010204,137.0455354579,0.2760418663,-96.8690488264,,9.2181576952,,,32.7197053055,-8.4989246694,-64.1140579971,,,,-77.0647956817,,,-10.4534084611,,,14.8324834138,483.6233866193,-10.2299444732,14.5385160117,,207.4609039675,,,35.2473229365,37.3090758247,13.3247558981,79.865132522,,255.7487201833,,,,44.4451625256,,,-455.2153449584,24.0335521517,,,22.1127329259,-15.1300485813,,,-6.7999915173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601991.SH,601991,大唐发电,10009193,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,61021488000,,,,,,,,,,,,275096000.0,854643000,,0.0,62151227000,37214473000,,,,,,3967348000,3962031000,1443760000,,0.0,46587612000,,0.0,15563615000,147623000.0,652305000.0,615000.0,,,38455000,,0.0,838998000,11157794000,147000000.0,,,,18108000.0,,0.0,11322902000,,0.0,-10483904000,13596129000.0,196129000.0,72352007000,,1709161000.0,,0.0,87657297000,77329415000,3802035000,589821000.0,,9697904000.0,,,0.0,90829354000,,0.0,-3172057000,-1077000.0,,0.0,1906577000,7207988000.0,,0.0,9114565000.0,6068282000.0,272280000.0,7447557000.0,7447557000.0,,122498000.0,90824000.0,,,,-4000.0,1139000.0,5149000.0,2246794000.0,-826177000.0,139205000.0,144586000.0,-5381000.0,,874271000.0,-1038588000.0,66821000.0,,,0.0,15563615000.0,,,,,9114565000.0,7207988000.0,,,,,1906577000.0,-3.4577361818,,,,,,,,,,,,86.0969801927,-3.8945164381,,,-3.25771915,-16.0834297886,,,,,,7.7228645415,6.669712554,5.3935578064,,,-12.2876486018,,,39.8343635187,-64.8039005317,545.6228039788,-59.4594594595,,,37.7574780584,,,-7.2796172706,-1.2132630593,-32.8767123288,,,,-89.0285797379,,,-3.0480242236,,,2.6926284072,274.2121142729,47.1688627427,36.8790882271,,553.3015568441,,,54.4534282124,54.2971235969,3.134561967,65.2965310824,,586.9936046199,,,,64.5002316838,,,-306.2607330708,-142.1361502347,,,0.5328844997,-15.1300585743,,,-12.270974446,41.5525974791,-71.6637405569,6.172983299,6.172983299,,15.0950841852,-35.2731989253,,,,99.4152046784,46.4010282776,-77.0839823757,-14.8887182551,38.8204201233,139.7523337122,-43.8745089514,97.3034327236,,189.2667994703,56.955786542,-88.0891393899,,,,39.8343635187,,,,,-12.270974446,-15.1300585743,,,,,0.5328844997,,,,,96840000.0,23.8458193723
601991.SH,601991,大唐发电,10009193,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-29 00:00:00,CNY,32310244000,,,,,,,,,,,,35266000.0,609619000,,0.0,32955129000,19040089000,,,,,,2082829000,1838719000,680950000,,0.0,23642587000,,0.0,9312542000,92672000.0,528187000.0,404000.0,,,9001000,,0.0,630264000,4546980000,67500000.0,,,,3307000.0,,0.0,4617787000,,0.0,-3987523000,2046080000.0,46080000.0,32916010000,,825820000.0,,0.0,35787910000,35228401000,1636288000,,,1241524000.0,,,0.0,38106213000,,0.0,-2318303000,-252000.0,,0.0,3006464000,7207988000.0,,0.0,10214452000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4552518571,,,,,,,,,,,,17.89128836,-41.8864208547,,,-2.690523414,-17.2124222354,,,,,,9.2172106476,1.740926576,-30.9448572958,,,-14.6450226182,,,51.0016492143,,3672.2253963719,91.4691943128,,,187.8477774224,,,69.2838264681,28.9709001567,,,,,-69.0239790184,,,30.5838481425,,,-26.0298993347,-42.1786220738,19.3102376884,65.1171347601,,698.4877638436,,,51.7916833319,58.613814427,-6.8893720634,,,88.0490084261,,,,54.7288009815,,,-120.6323268815,-122.7848101266,,,53.8950266203,-15.1300485813,,,-2.2218699532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601991.SH,601991,大唐发电,10009193,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-26 00:00:00,2026-03-28 00:00:00,CNY,136772300000,,,,,,,,,,,,576374000.0,2478103000,,0.0,139826777000,92130587000,,,,,,9839119000,7960609000,3773389000,,0.0,113703704000,,0.0,26123073000,703030000.0,1793466000.0,74850000.0,354972000.0,,122030000,,0.0,3048348000,30480175000,1092751000.0,,,,189637000.0,,0.0,31762563000,,0.0,-28714215000,4502965000.0,1002965000.0,137809801000,,1750312000.0,,0.0,144063078000,126320320000,8396394000,1519034000.0,,8045893000.0,,,0.0,142762607000,,0.0,1300471000,5678000.0,,0.0,-1284993000,8492981000.0,,0.0,7207988000.0,6857886000.0,1237179000.0,14181740000.0,14181740000.0,,292429000.0,357503000.0,,,,-14592000.0,232169000.0,-41328000.0,5260448000.0,-2816199000.0,90965000.0,31660000.0,59305000.0,,-1178303000.0,-1581911000.0,2626938000.0,,,0.0,26123073000.0,,,,,7207988000.0,8492981000.0,,,,,-1284993000.0,0.4953646751,,,,,,,,,,,,-37.6958308156,-5.1499376304,,,0.1367191702,-6.6861353415,,,,,,3.4247266515,17.5632045869,11.5430252151,,,-3.9660574231,,,23.0109973587,8.4310404926,-54.4378293857,-11.8737858362,1493.660770405,,1.5900765901,,,-36.6511221945,39.852305251,158.0547729758,,,,-32.4681013208,,,41.1743881255,,,-62.3481481741,-78.9611856321,148.7975193798,15.2396374551,,0.0981931208,,,0.9289348043,2.6050146709,2.0149064049,124.4850186574,,-49.6972856679,,,,-3.1058369475,,,128.2614997857,159.0412810648,,,-21.0404258386,-11.1111145998,,,-15.1300585743,128.090750896,-8.7572948571,5.8811083123,5.8811083123,,53.7958672774,67.0285978592,,,,-10.7720337053,122.0671646788,31.9300326119,-8.2848353696,4.4653524796,-93.6384108091,-97.7301584229,68.9649277757,,-275.590154578,-336.5927235419,196.8862166791,,,,23.0109973587,,,,,-15.1300585743,-11.1111145998,,,,,-21.0404258386,标准无保留意见,,,,180410000.0,3.929995161
601991.SH,601991,大唐发电,10009193,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-29 00:00:00,CNY,100570795000,,,,,,,,,,,,369392000.0,2764337000,,0.0,103704524000,67329524000,,,,,,5933579000,5780204000,2566742000,,0.0,81610049000,,0.0,22094475000,419430000.0,870750000.0,26083000.0,354972000.0,,105520000,,0.0,1776755000,18659843000,444160000.0,,,,189704000.0,,0.0,19293707000,,0.0,-17516952000,3919797000.0,419797000.0,90439595000,,669825000.0,,0.0,95029217000,86885867000,6395074000,767420000.0,,3876141000.0,,,0.0,97157082000,,0.0,-2127865000,-2742000.0,,0.0,2446916000,8492980000.0,,0.0,10939896000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4951004885,,,,,,,,,,,,-42.3241347652,44.9227138136,,,0.0824239797,-8.0400812591,,,,,,3.2022446602,18.2847434846,8.0202241592,,,-5.3560433696,,,27.0481356257,-28.5936821676,-71.597516173,-61.9692639683,2271.3808537644,,-7.6629593006,,,-53.8621198618,35.5725540137,172.2636327972,,,,28.8321143098,,,37.0864474127,,,-71.345952211,-78.1235264358,9.0764293973,7.2549104623,,-17.4873889022,,,-7.7849574066,-8.6876739427,5.9362193482,34.28124486,,-50.5569601749,,,,-10.8885477494,,,64.3989643591,15.7603686636,,,106.0987791997,-10.9073924589,,,2.0511829794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601991.SH,601991,大唐发电,10009193,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-29 00:00:00,CNY,63207020000,,,,,,,,,,,,147824000.0,889276000,,0.0,64244120000,44346990000,,,,,,3682921000,3714298000,1369875000,,0.0,53114084000,,0.0,11130036000,419430000.0,101035000.0,1517000.0,354972000.0,,27915000,,0.0,904869000,11294830000,219000000.0,,,,165047000.0,,0.0,11678877000,,0.0,-10774008000,3633268000.0,133268000.0,52858335000,,261619000.0,,0.0,56753222000,50117211000,3686480000,356826000.0,,1411644000.0,,,0.0,55215335000,,0.0,1537887000,2556000.0,,0.0,1896471000,8492981000.0,,0.0,10389452000.0,4286945000.0,960889000.0,7014550000.0,7014550000.0,,106432000.0,140319000.0,,,,-684000.0,778000.0,22469000.0,2639831000.0,-1350413000.0,58062000.0,257612000.0,-199550000.0,,-979391000.0,-2412840000.0,561009000.0,,,0.0,11130036000.0,,,,,10389452000.0,8492981000.0,,,,,1896471000.0,2.8096614083,,,,,,,,,,,,-68.1896432998,-43.2284737349,,,1.1546924186,-7.2600059077,,,,,,4.4636401722,19.5066579237,-23.332540471,,,-5.5564575594,,,53.0577834582,5523.8938053097,-95.0413486786,-93.4011918744,,,-65.2184205936,,,-57.8788830935,39.532421609,70.9601873536,,,,315.1185895017,,,41.3457579487,,,-76.2078380865,-72.2303668539,59.4095764405,-0.5506854712,,-73.8803876524,,,-15.591333544,-15.2192187277,0.6583443667,46.1820505783,,-78.4259965669,,,,-20.3466224482,,,173.8209973287,-33.5758835759,,,305.6898823759,-10.9073819688,,,20.6567604448,125.0898900947,,5.2985137921,5.2985137921,,15.9781625603,41.8409534303,,,,49.1449814126,106.5186426477,135.409903237,-11.583562734,-7.4042525439,11.8297380586,2738.3869546056,-565.7594995799,,-41.3329927688,-40.5902033653,164.1750153857,,,,53.0577834582,,,,,20.6567604448,-10.9073819688,,,,,305.6898823759,,,,,78194000.0,-17.5046947861
601991.SH,601991,大唐发电,10009193,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,32787383000,,,,,,,,,,,,29914000.0,1049013000,,0.0,33866310000,22998727000,,,,,,1907052000,1807256000,986096000,,0.0,27699131000,,0.0,6167179000,,14002000.0,211000.0,354972000.0,,3127000,,0.0,372312000,3525586000,,,,,10676000.0,,0.0,3536262000,,0.0,-3163950000,3538622000.0,38622000.0,19934945000,,103423000.0,,0.0,23576990000,22210172000,1757359000,39829000.0,,660213000.0,,,0.0,24627744000,,0.0,-1050754000,1106000.0,,0.0,1953581000,8492980000.0,,0.0,10446561000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1262849988,,,,,,,,,,,,-76.2326993056,2.9578672969,,,8.58033268,-0.9126749354,,,,,,2.6489930769,27.4796463523,-17.4528392705,,,0.0666963649,,,75.7317932529,,-35.955724283,-98.7618097529,,,-95.9596351138,,,220.1362018263,17.1809195362,,,,,39.1191034662,,,16.8278050719,,,-8.7042788041,-67.8599273388,286.22,-4.9355128618,,-68.234911099,,,-27.0186613706,-28.3431978702,27.0927877102,1991350.0,,-50.3124788332,,,,-26.9351043299,,,25.0085999803,120.3196766489,,,341.8441788347,-10.9073924589,,,19.7317698514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601991.SH,601991,大唐发电,10009193,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-23 00:00:00,2025-07-19 00:00:00,CNY,136098118000,,,,,,,,,,,,925097000.0,2612653000,,0.0,139635868000,98731938000,,,,,,9513314000,6771344000,3382900000,,0.0,118399496000,,0.0,21236372000,648366000.0,3936305000.0,84935000.0,22274000.0,,120120000,,0.0,4812000000,21794546000,423457000.0,,,,280811000.0,,0.0,22498814000,,0.0,-17686814000,21403131000.0,403125000.0,119585417000,,1748595000.0,,0.0,142737143000,123113203000,8230556000,676675000.0,,15994948000.0,,,0.0,147338707000,,0.0,-4601564000,-9617000.0,,0.0,-1061623000,9554604000.0,,0.0,8492981000.0,3006648000.0,1355921000.0,13394023000.0,13394023000.0,,190141000.0,214037000.0,,,,-13173000.0,104549000.0,-60714000.0,5735636000.0,-2947830000.0,1429910000.0,1394811000.0,35099000.0,,671053000.0,668622000.0,-2711364000.0,,,0.0,21236372000.0,,,,,8492981000.0,9554604000.0,,,,,-1061623000.0,3.9506251991,,,,,,,,,,,,-69.3415283949,18.5963104522,,,2.5632221376,1.6987634835,,,,,,5.5135995808,7.9789194269,2.1233099194,,,2.3486840877,,,3.7760205164,,169.7660632352,-66.8931350079,,,-82.6809617459,,,99.7281339822,7.6327560041,-59.558952036,,,,-47.0272870469,,,3.0817194314,,,8.910286839,18.0149622184,196.5310010519,-19.9147004963,,-42.4288029332,,,-16.281127501,-14.5311484136,-3.1436642525,10.7132572857,,-22.1388969682,,,,-14.8750140877,,,-77.7098590429,-192.8461092875,,,30.7155797811,-13.6503918699,,,-10.9073819688,445.9961817435,227.7498996872,2.9024289357,2.9024289357,,4.3194636469,-27.8666370095,,,,-11655.2631578947,409.0696780678,61.4932359153,-13.9205179024,0.4282709494,1327.0535131981,905.7368147421,-37.9635193892,,-65.7112038351,271.9277855062,-216.4943474958,,,,3.7760205164,,,,,-10.9073819688,-13.6503918699,,,,,30.7155797811,标准无保留意见,,,,173588000.0,38.0125142117
